PROTOCOLLO,DIMENSIONE
UDP,238
DNS,72
DNS,72
DNS,254
DNS,337
QUIC,1292
QUIC,1292
QUIC,1292
UDP,77
QUIC,1292
UDP,238
QUIC,1292
UDP,77
UDP,238
QUIC,1292
SSDP,143
UDP,238
UDP,77
UDP,238
SSDP,143
ICMPv6,70
UDP,77
UDP,238
ICMPv6,70
UDP,238
TLSv1.2,240
TCP,54
TLSv1.2,126
TCP,54
MDNS,75
MDNS,95
MDNS,76
MDNS,96
UDP,77
MDNS,75
MDNS,76
MDNS,96
MDNS,95
UDP,238
UDP,77
MDNS,75
MDNS,95
MDNS,76
MDNS,96
UDP,238
SSL,55
TCP,54
UDP,238
ARP,42
UDP,77
ARP,42
MDNS,75
MDNS,95
MDNS,76
MDNS,96
UDP,238
ARP,42
TLSv1.2,332
TLSv1.2,126
TCP,54
TLSv1.2,172
TCP,54
TLSv1.2,88
TCP,54
SSL,55
TCP,66
TLSv1.2,78
TLSv1.2,82
TCP,54
UDP,77
ARP,42
UDP,238
DHCPv6,122
IGMPv3,54
SSL,55
TCP,66
IGMPv3,54
MDNS,82
MDNS,102
MDNS,103
MDNS,123
MDNS,119
MDNS,139
IGMPv3,54
ICMPv6,90
IGMPv3,54
ICMPv6,90
SSDP,143
ARP,42
MDNS,119
MDNS,139
ARP,42
UDP,238
ARP,42
SSL,55
TCP,66
SSL,55
MDNS,119
MDNS,139
TCP,66
IGMPv3,54
